"Intent";"result"
"band.update";"""modif pay band"""
"band.update";"""modify band"""
"band.update";"""change pay band"""
"band.update";"""updt job band"""
"band.update";"""update job band"""
"band.update";"""correct pay band"""
"band.update";"""correct band"""
"band.update";"""make adjustments to pay band"""
"band.update";"""modify salary band"""
"band.update";"""edit payband"""
"campus.create";"""establish campus new"""
"campus.create";"""new campus creation"""
"campus.create";"""establish campus"""
"campus.create";"""set up site"""
"campus.create";"""make campus"""
"campus.create";"""add campus site"""
"campus.create";"""add site"""
"campus.create";"""create campus"""
"campus.create";"""start site"""
"campus.create";"""new campus create"""
"campus.create";"""new campus"""
"campus.delete";"""get rid of site"""
"campus.delete";"""get rid of campus"""
"campus.delete";"""take away campus site"""
"campus.delete";"""take away site"""
"campus.delete";"""elim campus"""
"campus.delete";"""eliminate campus"""
"campus.delete";"""rem site"""
"campus.delete";"""remove site"""
"campus.delete";"""del campus"""
"campus.delete";"""delete campus"""
"campus.update";"""please update campus site"""
"campus.update";"""make campus update"""
"campus.update";"""correct site"""
"campus.update";"""edit campus"""
"campus.update";"""adjust site"""
"campus.update";"""modif campus"""
"campus.update";"""modify campus"""
"campus.update";"""change site"""
"campus.update";"""updt campus"""
"campus.update";"""update campus"""
"candidate.refer";"""I need to refer a job candidate"""
"candidate.refer";"""I want o refer a candidate"""
"candidate.refer";"""job candidate suggestion"""
"candidate.refer";"""candidate referral"""
"candidate.refer";"""position recommendation"""
"candidate.refer";"""recommend for job"""
"candidate.refer";"""suggest candidate"""
"candidate.refer";"""refer job candidate"""
"candidate.refer";"""make recommendation to job candidate"""
"candidate.refer";"""I need to suggest a job candidate"""
"candidate.refer";"""Refer candidate"""
"candidate.refer";"""I need to refer a candidate"""
"candidate.refer";"""I need to refer a job position candidate"""
"compensationPlan.create";"""create compensation detail"""
"compensationPlan.create";"""new compensation plan"""
"compensationPlan.create";"""add some perks to compensation"""
"compensationPlan.create";"""add some sick days to compensation"""
"compensationPlan.create";"""add stock option to compensation"""
"compensationPlan.create";"""set up stock options"""
"compensationPlan.create";"""add sick days benefits"""
"compensationPlan.create";"""set up personal days"""
"compensationPlan.create";"""add vacation days"""
"compensationPlan.create";"""establish perks"""
"compensationPlan.create";"""create allowance"""
"compensationPlan.create";"""set up commission"""
"compensationPlan.create";"""establish pay bonus"""
"compensationPlan.create";"""create basic pay"""
"compensationPlan.create";"""establish compensation specific"""
"compensationPlan.create";"""set up compensation details"""
"compensationPlan.create";"""make compensation plans"""
"compensationPlan.create";"""add compensation benefits"""
"compensationPlan.create";"""create compensation specifics"""
"compensationPlan.create";"""create new compensation plan"""
"compensationPlan.create";"""start compensation details"""
"compensationPlan.delete";"""delete compensation detail"""
"compensationPlan.delete";"""delete compensation plan"""
"compensationPlan.delete";"""delete stock options benefits"""
"compensationPlan.delete";"""remove sick days benefits"""
"compensationPlan.delete";"""eliminate personal days benefit"""
"compensationPlan.delete";"""remove vacation days benefit"""
"compensationPlan.delete";"""delete perks"""
"compensationPlan.delete";"""get rid of perks"""
"compensationPlan.delete";"""take away allowance"""
"compensationPlan.delete";"""eliminate commission"""
"compensationPlan.delete";"""remove bonus"""
"compensationPlan.delete";"""del basic pay"""
"compensationPlan.delete";"""delete basic pay"""
"compensationPlan.delete";"""get rid of compensation plan"""
"compensationPlan.delete";"""take away compensation benefits"""
"compensationPlan.delete";"""eliminate compensation specifics"""
"compensationPlan.delete";"""rem compensation details"""
"compensationPlan.delete";"""remove compensation details"""
"compensationPlan.delete";"""del compensation plan"""
"compensationPlan.end";"""put compensation plan to an end"""
"compensationPlan.end";"""cease compensation plan"""
"compensationPlan.end";"""terminate compensation perks"""
"compensationPlan.end";"""terminate bonus benefit"""
"compensationPlan.end";"""terminate remuneration benefit"""
"compensationPlan.end";"""end compensation plan"""
"compensationPlan.end";"""end compensation perks"""
"compensationPlan.end";"""end compensation bonus"""
"compensationPlan.end";"""cease compensation bonus"""
"compensationPlan.end";"""finish compensation benefit"""
"compensationPlan.end";"""terminate compensation plan"""
"compensationPlan.update";"""update compensation plan"""
"compensationPlan.update";"""update compensation detail"""
"compensationPlan.update";"""change stock options"""
"compensationPlan.update";"""adjust stock options benefit"""
"compensationPlan.update";"""update sick days"""
"compensationPlan.update";"""modify sick days benefit"""
"compensationPlan.update";"""change personal days benefit"""
"compensationPlan.update";"""update vacation days benefits"""
"compensationPlan.update";"""update perks"""
"compensationPlan.update";"""edit perks"""
"compensationPlan.update";"""adjust allowance"""
"compensationPlan.update";"""adjust commission"""
"compensationPlan.update";"""modify commission"""
"compensationPlan.update";"""modify bonus"""
"compensationPlan.update";"""change bonus"""
"compensationPlan.update";"""update basic pay"""
"compensationPlan.update";"""edit compensation details"""
"compensationPlan.update";"""adjust compensation plan"""
"compensationPlan.update";"""modif compensation specifics"""
"compensationPlan.update";"""modify compensation specifics"""
"compensationPlan.update";"""change compensation details"""
"compensationPlan.update";"""upd compensation plan"""
"compensationPlanStep.create";"""establish compensation plan step"""
"compensationPlanStep.create";"""set up compensation plan step"""
"compensationPlanStep.create";"""compensation step creation"""
"compensationPlanStep.create";"""make compensation plan step"""
"compensationPlanStep.create";"""add compensation plan step"""
"compensationPlanStep.create";"""create compensation plan step"""
"compensationPlanStep.create";"""start compensation plan step"""
"compensationPlanStep.create";"""new compensation plan step"""
"compensationPlanStep.create";"""creation of a new comp plan step"""
"compensationPlanStep.create";"""I need a new step in the compensation plan"""
"compensationPlanStep.create";"""establish a new step into compensation plan"""
"compensationPlanStep.create";"""make new step into compensation plan"""
"compensationPlanStep.create";"""create new step in the compensation plan"""
"compensationPlanStep.delete";"""take away compensation plan step"""
"compensationPlanStep.delete";"""elim compensation plan step"""
"compensationPlanStep.delete";"""eliminate compensation plan step"""
"compensationPlanStep.delete";"""rem compensation plan step"""
"compensationPlanStep.delete";"""remove compensation plan step"""
"compensationPlanStep.delete";"""del compensation plan step"""
"compensationPlanStep.delete";"""delete compensation plan step"""
"compensationPlanStep.delete";"""compensation plan step eliminate"""
"compensationPlanStep.delete";"""comp plan step deletion"""
"compensationPlanStep.delete";"""take away a compensation plan step"""
"compensationPlanStep.delete";"""compensation plan step delete"""
"compensationPlanStep.update";"""edit compensation plan step"""
"compensationPlanStep.update";"""adjust compensation plan step"""
"compensationPlanStep.update";""" modif compensation plan step"""
"compensationPlanStep.update";"""modify compensation plan step"""
"compensationPlanStep.update";"""change compensation plan step"""
"compensationPlanStep.update";"""updt compensation plan step"""
"compensationPlanStep.update";"""update compensation plan step"""
"compensationPlanStep.update";"""make adjustments to compensation plan step"""
"compensationPlanStep.update";"""compensation plan step corrections"""
"compensationPlanStep.update";"""compensation plan step corrections update"""
"compensationPlanStep.update";"""compensation plan step corrections adjustments"""
"demote";"""demote worker"""
"demote";"""demote employee"""
"demote";"""demote associate"""
"demote";"""demote my worker"""
"demote";"""down worker"""
"demote";"""downgrade associate"""
"demote";"""downgrade employee"""
"demote";"""lower employee rank"""
"demote";"""downgrade employee rank"""
"evaluation.cancel";"""Cancel job evaluation now please"""
"evaluation.cancel";"""Cancel job evaluation now"""
"evaluation.cancel";"""Cancel job evaluation"""
"evaluation.cancel";"""Make job evaluation cancelled"""
"evaluation.cancel";"""Pls cancel job eval"""
"evaluation.cancel";"""I need this job evaluation to be cancelled"""
"evaluation.cancel";"""Make a job evaluation cancelled"""
"evaluation.cancel";"""I need you to cancel a job evaluation"""
"evaluation.cancel";"""Can you please cancel a job evaluation"""
"evaluation.cancel";"""Job evaluation should be cancelled now"""
"evaluation.cancel";"""Job evaluation should be cancelled"""
"evaluation.cancel";"""Cancel job eval"""
"evaluation.cancel";"""Please cancel this job evaluation"""
"evaluation.review";"""evaluation review"""
"evaluation.review";"""review eval"""
"evaluation.review";"""review job evaluation"""
"evaluation.review";"""evaluation assessment"""
"evaluation.review";"""go over evaluation"""
"evaluation.review";"""assess job eval"""
"evaluation.review";"""read job eval"""
"evaluation.review";"""grade job evaluation"""
"evaluation.review";"""look over evaluation"""
"evaluation.schedule";"""A new schedule for job evaluation"""
"evaluation.schedule";"""Please create a new entry for a job evaluation schedule"""
"evaluation.schedule";"""Make a new job evaluation creation"""
"evaluation.schedule";"""I need you to create a job schedule evaluation"""
"evaluation.schedule";"""I want you to create a job schedule evaluation"""
"evaluation.schedule";"""Schedule evaluation create"""
"evaluation.schedule";"""E-system, make a new schedule for job evaluation"""
"evaluation.schedule";"""Pls create evaluation schedule"""
"evaluation.schedule";"""Please create job eval schedule"""
"evaluation.schedule";"""Create job eval schedule"""
"evaluation.schedule";"""Can you please create an evaluation schedule"""
"evaluation.schedule";"""Schedule evaluation creation"""
"evaluation.schedule";"""schedule evaluation"""
"evaluation.schedule";"""please schedule a new evaluation"""
"evaluation.schedule";"""make schedule eval"""
"evaluation.schedule";"""schedule eval"""
"evaluation.update";"""Re-schedule a job evaluation date"""
"evaluation.update";"""Update my agenda for a job evaluation"""
"evaluation.update";"""Can you please update job evaluation"""
"evaluation.update";"""Pls update job eval schedule"""
"evaluation.update";"""I need to update job eval schedule"""
"evaluation.update";"""Update for a me job evaluation schedule"""
"evaluation.update";"""Pls update job eval sch"""
"evaluation.update";"""Update job eval schedule"""
"evaluation.update";"""Schedule update for eval"""
"evaluation.update";"""Schedule update for evaluation"""
"evaluation.update";"""I need to update a job evaluation schedule"""
"evaluation.update";"""Please up job evaluation schedule"""
"evaluation.update";"""evaluation update"""
"evaluation.update";"""update eval"""
"externalJobApplication.submit";"""Can you please submit job application for external candidate"""
"externalJobApplication.submit";"""I need you please submit external job app"""
"externalJobApplication.submit";"""Can you please submit external job application"""
"externalJobApplication.submit";"""Please submit job app external"""
"externalJobApplication.submit";"""Job application external submit"""
"externalJobApplication.submit";"""Sub external job application"""
"externalJobApplication.submit";"""Submit external job application"""
"externalJobApplication.submit";"""E-system, please submit external job application"""
"externalJobApplication.submit";"""I want to submit external job application"""
"externalJobApplication.submit";"""I need please to submit external job application"""
"externalJobApplication.submit";"""Submit external job app"""
"externalJobApplication.submit";"""Pls submit external job app"""
"helper.commands";"""help commands of the system"""
"helper.commands";"""commands I can use"""
"helper.commands";"""canonicals I can use"""
"helper.commands";"""things I can do"""
"helper.commands";"""action I can do"""
"helper.commands";"""commands help please"""
"helper.commands";"""commands I can perform"""
"helper.commands";"""questions help please"""
"helper.commands";"""help with commands"""
"helper.commands";"""available command"""
"helper.commands";"""available commands"""
"helper.commands";"""available actions"""
"helper.intents";"""Give me the list of available actions"""
"helper.intents";"""I want to know more about possible actions"""
"helper.intents";"""Available intents"""
"helper.intents";"""List of possible functions"""
"helper.intents";"""List of intents"""
"helper.intents";"""List of available intents"""
"helper.intents";"""Which intents can i use"""
"helper.intents";"""Available actions"""
"helper.intents";"""What intents are ready"""
"helper.intents";"""help"""
"helper.intents";"""I need some help"""
"helper.intents";"""please help"""
"helper.intents";"""I need some guidance"""
"helper.intents";"""I need support"""
"helper.intents";"""support please"""
"helper.intents";"""please give me a hand"""
"helper.intents";"""give some guidance"""
"helper.questions";"""help questions of the system"""
"helper.questions";"""what can i ask to the system"""
"helper.questions";"""system questions"""
"helper.questions";"""helper questions"""
"helper.questions";"""questions help please"""
"helper.questions";"""help with questions"""
"helper.questions";"""available question"""
"helper.questions";"""available question"""
"internalJobApplication.submit";"""Can you please submit job application for internal candidate"""
"internalJobApplication.submit";"""Submission of internal job application"""
"internalJobApplication.submit";"""E-system, can you please submit internal job app"""
"internalJobApplication.submit";"""Can you please submit internal job application"""
"internalJobApplication.submit";"""Please submit job app internal"""
"internalJobApplication.submit";"""Submit internal job application"""
"internalJobApplication.submit";"""Submit internal job appplication"""
"internalJobApplication.submit";"""I want to submit internal job application"""
"internalJobApplication.submit";"""Submit internal job app"""
"internalJobApplication.submit";"""Pls submit internal job app"""
"internalJobApplication.submit";"""I need please to submit internal job application"""
"internalJobApplication.submit";"""Job application internal submit"""
"job.activate";"""start job activation"""
"job.activate";"""launch job"""
"job.activate";"""open job"""
"job.activate";"""switch on job"""
"job.activate";"""turn on job"""
"job.activate";"""initiate job"""
"job.activate";"""activate job"""
"job.activate";"""activate new job"""
"job.activate";"""new job activ"""
"job.activate";"""make new job activation"""
"job.activate";"""please turn on new job"""
"job.activate";"""activation of a new job"""
"job.create";"""establish job"""
"job.create";"""set up job"""
"job.create";"""make job"""
"job.create";"""add job"""
"job.create";"""Create job"""
"job.create";"""start job"""
"job.create";"""new job"""
"job.create";"""Can you help me to create a new job"""
"job.create";"""Can you please create new job"""
"job.create";"""Setup new job"""
"job.create";"""Setup job"""
"job.create";"""Please create new job"""
"job.create";"""Create new job"""
"job.create";"""I want to create a new job"""
"job.deactivate";"""do job deactivation"""
"job.deactivate";"""stop job"""
"job.deactivate";"""turn off job"""
"job.deactivate";"""shut off job"""
"job.deactivate";"""inactivate job"""
"job.deactivate";"""disconnect job"""
"job.deactivate";"""disable job"""
"job.deactivate";"""deactivate job"""
"job.deactivate";"""deactivation of job"""
"job.deactivate";"""make job deactive"""
"job.deactivate";"""make job innactivation"""
"job.deactivate";"""stop a job"""
"job.deactivate";"""do job disable"""
"job.delete";"""get rid of job"""
"job.delete";"""take away job"""
"job.delete";"""eliminate job"""
"job.delete";"""remove job"""
"job.delete";"""delete job"""
"job.delete";"""delete a job please"""
"job.delete";"""I need to take a job away"""
"job.delete";"""elim job position please"""
"job.delete";"""i need to get rid of a job now"""
"job.delete";"""remove a job position"""
"job.delete";"""rem a job"""
"job.delete";"""eliminate a job"""
"job.delete";"""please elim job"""
"job.update";"""correct job"""
"job.update";"""edit job"""
"job.update";"""adjust job"""
"job.update";"""modify job"""
"job.update";"""change job"""
"job.update";"""update job"""
"job.update";"""make adjustments to job"""
"job.update";"""job needs update"""
"job.update";"""adjustments in job"""
"job.update";"""modif job"""
"job.update";"""corrections to job"""
"job.update";"""some changes on job"""
"job.update";"""make adjustments to job"""
"jobApplication.cancel";"""revoke job application"""
"jobApplication.cancel";"""revoke job application"""
"jobApplication.cancel";"""don't submit job application"""
"jobApplication.cancel";"""rescind job app"""
"jobApplication.cancel";"""cancel job application"""
"jobApplication.cancel";"""revoke application"""
"jobApplication.cancel";"""cancel a job application"""
"jobApplication.cancel";"""i need to rescind a job application"""
"jobApplication.cancel";"""job app cancel"""
"jobApplication.cancel";"""job app rescind"""
"jobApplication.cancel";"""do not submit job app"""
"jobApplication.cancel";"""do not submit job application"""
"jobApplication.cancel";"""rvk job application"""
"jobApplication.cancel";"""rvk job app"""
"jobApplication.evaluate";"""Can you please help me to evaluate a job application"""
"jobApplication.evaluate";"""Help me evaluate a job application"""
"jobApplication.evaluate";"""Evaluate a candidate job application"""
"jobApplication.evaluate";"""I need to evaluate a candidate job application"""
"jobApplication.evaluate";"""Eval job application"""
"jobApplication.evaluate";"""Please evaluate job application"""
"jobApplication.evaluate";"""Evaluate job application"""
"jobApplication.evaluate";"""I need to evaluate a candidate application for a job"""
"jobApplication.reject";"""eliminate job app"""
"jobApplication.reject";"""decline job app"""
"jobApplication.reject";"""application rejection"""
"jobApplication.reject";"""deny job application"""
"jobApplication.reject";"""say no to job app"""
"jobApplication.reject";"""do not accept application"""
"jobApplication.reject";"""reject job application"""
"jobApplication.reject";"""elim job application"""
"jobApplication.reject";"""decline a job application"""
"jobApplication.reject";"""reject job app"""
"jobApplication.reject";"""not accept job app"""
"jobApplication.reject";"""deny job app"""
"jobApplication.update";"""correct application"""
"jobApplication.update";"""edit job app"""
"jobApplication.update";"""adjust job application"""
"jobApplication.update";"""modify application"""
"jobApplication.update";"""change job app"""
"jobApplication.update";"""update job application"""
"jobApplication.update";"""correct job application"""
"jobApplication.update";"""update job app"""
"jobApplication.update";"""adjust job app"""
"jobApplication.update";"""make update to job application"""
"jobApplication.update";"""edit job application"""
"jobApplication.update";"""change a job application please"""
"jobApplication.withdraw";"""I don't want to submit job app any more"""
"jobApplication.withdraw";"""please don't submit job app"""
"jobApplication.withdraw";"""withdraw job pp"""
"jobApplication.withdraw";"""don't submit job application"""
"jobApplication.withdraw";"""don't want to submit application"""
"jobApplication.withdraw";"""changed mind about job app"""
"jobApplication.withdraw";"""withdraw job application"""
"jobApplication.withdraw";"""withdraw job app"""
"jobApplication.withdraw";"""I don't want to submit job app"""
"jobApplication.withdraw";"""withdraw job app"""
"jobApplication.withdraw";"""no submit job application"""
"jobApplicationInterest.confirm";"""position interest certification"""
"jobApplicationInterest.confirm";"""job app interest validation"""
"jobApplicationInterest.confirm";"""job application interest confirmation"""
"jobApplicationInterest.confirm";"""confirm application interest"""
"jobApplicationInterest.confirm";"""validate job app interest"""
"jobApplicationInterest.confirm";"""application interest verification"""
"jobApplicationInterest.confirm";"""verify app interest"""
"jobApplicationInterest.confirm";"""certify job application interest"""
"jobApplicationInterest.confirm";"""confirm job application interest"""
"jobApplicationInterest.confirm";"""verify interesta on job app"""
"jobApplicationInterest.confirm";"""confirm job app interest"""
"jobApplicationInterest.confirm";"""Certify that I have interest in job application"""
"jobApplicationInterest.confirm";"""Validate my interest in job application"""
"jobApplicationInterest.confirm";"""Certify interest in job application"""
"jobBoard.create";"""establish job board"""
"jobBoard.create";"""set up job board"""
"jobBoard.create";"""make job board"""
"jobBoard.create";"""start job board"""
"jobBoard.create";"""create job board"""
"jobBoard.create";"""add job board"""
"jobBoard.create";"""new job board"""
"jobBoard.create";"""make me a new job board"""
"jobBoard.create";"""establish a new job board"""
"jobBoard.create";"""Creation of a new job board"""
"jobBoard.create";"""job board new"""
"jobBoard.create";"""setup a a new job board"""
"jobBoard.delete";"""Please remove job board"""
"jobBoard.delete";"""rem job board"""
"jobBoard.delete";"""del job board"""
"jobBoard.delete";"""delete job board"""
"jobBoard.delete";"""eliminate job board"""
"jobBoard.delete";"""get rid of job board"""
"jobBoard.delete";"""take away job board"""
"jobBoard.delete";"""remove job board"""
"jobBoard.delete";"""elim job boaard"""
"jobBoard.delete";"""I need to eliminate a job board"""
"jobBoard.delete";"""I neet to take away a job board"""
"jobBoard.delete";"""make job board deleted"""
"jobBoard.update";"""correct job board"""
"jobBoard.update";"""adjust job board"""
"jobBoard.update";"""update job board"""
"jobBoard.update";"""change job board"""
"jobBoard.update";"""modify job board"""
"jobBoard.update";"""edit job board"""
"jobBoard.update";"""please correct a job board"""
"jobBoard.update";"""correct jobboard"""
"jobBoard.update";"""make adjustments to job board"""
"jobBoard.update";"""upt job board now"""
"jobBoard.update";"""job board correction"""
"jobBoard.update";"""job board adjustments"""
"jobFamily.activate";"""job family activation"""
"jobFamily.activate";"""init job family"""
"jobFamily.activate";"""activ job family"""
"jobFamily.activate";"""start job family activation"""
"jobFamily.activate";"""launch job family"""
"jobFamily.activate";"""open job family"""
"jobFamily.activate";"""switch on job family"""
"jobFamily.activate";"""turn on job family"""
"jobFamily.activate";"""initiate job family"""
"jobFamily.activate";"""activate job family"""
"jobFamily.create";"""begin job family"""
"jobFamily.create";"""establish new job family"""
"jobFamily.create";"""start new job family"""
"jobFamily.create";"""establish job family"""
"jobFamily.create";"""set up job family"""
"jobFamily.create";"""make job family"""
"jobFamily.create";"""add job family"""
"jobFamily.create";"""create job family"""
"jobFamily.create";"""start job family"""
"jobFamily.create";"""new job family"""
"jobFamily.create";"""make a new job family"""
"jobFamily.create";"""job family new"""
"jobFamily.create";"""add a jobfamily"""
"jobFamily.create";"""job family create"""
"jobFamily.deactivate";"""please stop job family"""
"jobFamily.deactivate";"""stop job family"""
"jobFamily.deactivate";"""turn off job family"""
"jobFamily.deactivate";"""shut off job family"""
"jobFamily.deactivate";"""inactivation job family"""
"jobFamily.deactivate";"""inactivate job family"""
"jobFamily.deactivate";"""disconnect job family"""
"jobFamily.deactivate";"""deactiv job family"""
"jobFamily.deactivate";"""disable job family"""
"jobFamily.deactivate";"""deactivate job family"""
"jobFamily.delete";"""get rid of job family"""
"jobFamily.delete";"""take away job family"""
"jobFamily.delete";"""elim job family"""
"jobFamily.delete";"""eliminate job family"""
"jobFamily.delete";"""rem job family"""
"jobFamily.delete";"""remove job family"""
"jobFamily.delete";"""del job family"""
"jobFamily.delete";"""delete job family"""
"jobFamily.delete";"""I need to remove a job family"""
"jobFamily.delete";"""I need to take away a job family"""
"jobFamily.delete";"""Make job family eliminated"""
"jobFamily.delete";"""Deletion of job family"""
"jobFamily.delete";"""I want get rid of job family"""
"jobFamily.update";"""modif job family"""
"jobFamily.update";"""job family updt"""
"jobFamily.update";"""make adjustments to job family"""
"jobFamily.update";"""correct job family"""
"jobFamily.update";"""edit job family"""
"jobFamily.update";"""adjust job family"""
"jobFamily.update";"""modify job family"""
